City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Acarau,BR,-2.8856,-40.12,79.38,81,38,11.77,scattered clouds
264,Rock Sound,BS,24.9,-76.2,76.24,72,47,17.74,scattered clouds
265,Kourou,GF,5.1552,-52.6478,78.01,94,90,1.14,heavy intensity rain
266,Meulaboh,ID,4.1363,96.1285,76.87,85,100,3.15,moderate rain
267,Tual,ID,-5.6667,132.75,83.53,75,80,12.64,broken clouds
268,Glace Bay,CA,46.1969,-59.957,37.99,93,90,9.22,light intensity drizzle
269,Manggar,ID,-2.8833,108.2667,80.58,76,18,7.14,few clouds
270,Borogontsy,RU,62.6683,131.1683,21.54,86,94,4.03,overcast clouds
271,Ovada,IT,44.6384,8.6453,57.2,62,0,5.75,clear sky
272,Xai-Xai,MZ,-25.0519,33.6442,66.25,89,88,0.65,overcast clouds
273,Francistown,BW,-21.17,27.5079,60.82,41,0,5.68,clear sky
274,Komsomolskiy,UZ,40.4272,71.7189,53.6,50,30,6.91,scattered clouds
275,Belmonte,BR,-15.8631,-38.8828,78.8,69,0,6.91,clear sky
276,Tran,BG,42.8353,22.6517,45.0,88,96,3.87,overcast clouds
277,Valparaiso,CL,-33.0393,-71.6273,60.8,77,75,6.91,broken clouds
278,Namtsy,RU,62.7161,129.6658,26.6,74,75,11.18,broken clouds
279,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,63,75,13.8,broken clouds
280,Jibuti,DJ,11.5,42.5,82.4,78,20,4.61,haze
281,Japura,ID,-0.3167,102.35,72.88,97,100,1.34,moderate rain
282,Ibra,OM,22.6906,58.5334,75.63,33,0,1.14,clear sky
283,Monrovia,LR,6.3005,-10.7969,78.8,94,20,7.14,few clouds
284,Saryagash,KZ,41.4511,69.1701,51.8,71,0,6.91,clear sky
285,Suffolk,US,40.8668,-72.7996,62.6,20,1,14.97,clear sky
286,Vilcun,CL,-38.65,-72.2333,55.4,100,0,4.61,clear sky
287,Terme,TR,41.2092,36.9739,57.0,87,0,4.61,clear sky
