City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Tezu,IN,2021-04-14 23:28:00,27.9167,96.1667,71.87,39,24,4.52
175,Chokurdakh,RU,2021-04-14 23:28:02,70.6333,147.9167,2.16,89,74,4.99
176,Torit,SS,2021-04-14 23:28:02,4.4133,32.5678,76.68,60,67,3.83
177,Vitim,RU,2021-04-14 23:28:02,59.4511,112.5578,25.75,95,100,2.77
178,Nadym,RU,2021-04-14 23:28:02,65.5333,72.5167,36.99,99,100,16.42
179,Bilibino,RU,2021-04-14 23:24:02,68.0546,166.4372,8.15,67,26,3.11
180,Makat,KZ,2021-04-14 23:28:03,47.6469,53.3463,59.79,31,47,14.85
181,Kaeo,NZ,2021-04-14 23:27:39,-35.1,173.7833,69.01,72,4,7.0
182,Padang,ID,2021-04-14 23:28:03,-0.9492,100.3543,77.29,87,99,3.83
183,Riyadh,SA,2021-04-14 23:25:42,24.6877,46.7219,78.8,29,20,11.5
184,Monteagudo,BO,2021-04-14 23:28:03,-19.8167,-63.9833,69.35,65,94,2.01
185,Krasnoselkup,RU,2021-04-14 23:28:04,65.7,82.4667,27.55,96,100,25.79
186,Zyryanka,RU,2021-04-14 23:24:04,65.75,150.85,3.24,89,87,5.3
187,Calvinia,ZA,2021-04-14 23:28:04,-31.4707,19.776,74.62,22,61,5.61
188,Tual,ID,2021-04-14 23:28:05,-5.6667,132.75,82.45,72,60,9.66
189,Ketchikan,US,2021-04-14 23:28:05,55.3422,-131.6461,53.6,58,1,9.22
190,Pevek,RU,2021-04-14 23:28:05,69.7008,170.3133,1.02,78,32,4.27
191,Plouzane,FR,2021-04-14 23:26:27,48.3833,-4.6167,44.6,81,0,6.91
192,Hare Bay,CA,2021-04-14 23:28:05,48.8499,-54.0148,32.0,80,90,3.44
193,Agaro,ET,2021-04-14 23:28:06,7.85,36.65,61.72,88,93,2.1
194,Bonavista,CA,2021-04-14 23:28:07,48.6499,-53.1147,33.01,80,92,3.44
195,Sao Joao Da Barra,BR,2021-04-14 23:28:07,-21.6403,-41.0511,71.71,75,14,11.25
196,Kahului,US,2021-04-14 23:24:59,20.8947,-156.47,80.6,50,40,18.41
197,Siva,EG,2021-04-14 23:28:08,29.2041,25.5195,71.71,24,0,8.9
198,Tripoli,LY,2021-04-14 23:26:07,32.8752,13.1875,60.75,64,100,13.42
199,Baykit,RU,2021-04-14 23:28:08,61.67,96.37,13.51,97,81,3.0
200,Villarrica,PY,2021-04-14 23:28:08,-25.75,-56.4333,77.63,56,16,2.62
201,Raudeberg,NO,2021-04-14 23:28:09,61.9875,5.1352,41.0,82,21,6.22
202,Bengkulu,ID,2021-04-14 23:28:09,-3.8004,102.2655,74.41,88,78,4.05
203,Chala,TZ,2021-04-14 23:28:09,-7.5833,31.2667,56.75,95,86,3.2
204,Vieira De Leiria,PT,2021-04-14 23:28:09,39.8695,-8.9324,61.0,100,40,2.3
205,Carrefour,HT,2021-04-14 23:28:10,18.5411,-72.3992,82.4,65,20,9.22
206,Makakilo City,US,2021-04-14 23:28:11,21.3469,-158.0858,82.4,44,75,8.05
207,Salinopolis,BR,2021-04-14 23:27:54,-0.6136,-47.3561,79.27,87,80,9.48
208,Ahipara,NZ,2021-04-14 23:28:11,-35.1667,173.1667,66.25,61,53,11.61
209,Mantua,IT,2021-04-14 23:24:36,45.1667,10.7833,42.01,83,83,3.0
210,Saint Joseph,US,2021-04-14 23:27:06,39.7686,-94.8466,55.99,37,20,16.11
211,Vidim,RU,2021-04-14 23:28:12,56.4088,103.1106,24.82,98,100,2.55
212,Russell,US,2021-04-14 23:28:13,32.3502,-85.1999,73.4,60,90,3.44
213,Lorengau,PG,2021-04-14 23:28:13,-2.0226,147.2712,83.89,68,57,6.22
214,Roma,US,2021-04-14 23:25:22,43.2128,-75.4557,64.4,32,40,7.02
215,Derzhavinsk,KZ,2021-04-14 23:28:13,51.1,66.3167,37.65,56,11,8.48
216,Pascagoula,US,2021-04-14 23:28:13,30.3658,-88.5561,62.6,100,90,8.05
217,Flinders,AU,2021-04-14 23:28:14,-34.5833,150.8552,66.99,57,11,1.99
218,Mayor Pablo Lagerenza,PY,2021-04-14 23:28:14,-19.9309,-60.7718,79.21,47,0,5.32
219,Carahue,CL,2021-04-14 23:28:14,-38.7,-73.1667,59.0,77,75,4.61
220,Thompson,CA,2021-04-14 23:28:14,55.7435,-97.8558,39.2,20,40,3.44
221,Senno,RU,2021-04-14 23:28:15,59.5336,33.9167,32.77,92,95,4.56
222,Aklavik,CA,2021-04-14 23:28:15,68.2191,-135.0107,30.2,55,90,4.61
223,Kusadak,RS,2021-04-14 23:28:16,44.3997,20.8033,41.0,93,0,12.66
224,Westport,US,2021-04-14 23:24:23,41.1415,-73.3579,59.0,76,90,11.5
225,Voi,KE,2021-04-14 23:28:16,-3.3945,38.563,72.79,84,96,9.1
226,San Cristobal,VE,2021-04-14 23:28:16,7.7669,-72.225,82.4,74,40,4.61
227,Charlestown,AU,2021-04-14 23:28:16,-32.95,151.6667,69.01,54,0,4.25
228,Upernavik,GL,2021-04-14 23:28:17,72.7868,-56.1549,-7.49,96,98,5.88
229,Ust-Nera,RU,2021-04-14 23:28:17,64.5667,143.2,0.41,88,89,4.41
230,Galveston,US,2021-04-14 23:28:18,29.3669,-94.9669,79.0,78,90,6.91
231,Hami,CN,2021-04-14 23:28:20,42.8,93.45,44.44,17,0,14.83
232,Leningradskiy,RU,2021-04-14 23:28:20,69.3833,178.4167,12.16,89,95,4.76
233,Borba,BR,2021-04-14 23:28:20,-4.3878,-59.5939,76.05,96,100,0.63
234,Katsina,NG,2021-04-14 23:28:21,12.9894,7.6006,82.0,8,29,8.9
235,Porto Walter,BR,2021-04-14 23:28:21,-8.2686,-72.7439,76.78,83,83,1.43
236,Kudahuvadhoo,MV,2021-04-14 23:28:21,2.6708,72.8944,82.36,65,63,9.78
237,Yar-Sale,RU,2021-04-14 23:28:22,66.8333,70.8333,35.85,100,100,12.97
238,Dengzhou,CN,2021-04-14 23:28:22,37.8086,120.7508,49.46,65,89,13.91
239,Irbil,IQ,2021-04-14 23:24:32,36.1926,44.0106,48.2,46,0,3.44
240,Touros,BR,2021-04-14 23:28:22,-5.1989,-35.4608,78.8,89,0,4.61
241,Egvekinot,RU,2021-04-14 23:28:22,66.3167,-179.1667,12.79,76,18,1.88
242,Sao Filipe,CV,2021-04-14 23:28:23,14.8961,-24.4956,77.22,55,42,13.69
243,Siverek,TR,2021-04-14 23:28:23,37.755,39.3167,51.8,46,0,3.44
244,Amapa,BR,2021-04-14 23:28:23,1.0,-52.0,74.07,98,100,2.59
245,Saldanha,ZA,2021-04-14 23:28:24,-33.0117,17.9442,73.4,49,56,10.36
246,Coihaique,CL,2021-04-14 23:28:24,-45.5752,-72.0662,48.2,76,75,12.66
247,Iskateley,RU,2021-04-14 23:28:24,67.6803,53.1512,27.07,86,34,19.84
248,Evensk,RU,2021-04-14 23:25:16,61.95,159.2333,16.63,84,100,15.7
249,Umm Lajj,SA,2021-04-14 23:28:25,25.0213,37.2685,74.21,48,0,9.31
250,Shagamu,NG,2021-04-14 23:28:25,6.8432,3.6478,84.2,74,20,6.91
251,Darhan,MN,2021-04-14 23:28:26,49.4867,105.9228,27.37,57,5,5.39
252,Namibe,AO,2021-04-14 23:28:26,-15.1961,12.1522,80.67,73,48,1.3
253,Beringovskiy,RU,2021-04-14 23:28:26,63.05,179.3167,13.23,75,15,0.65
254,Beyneu,KZ,2021-04-14 23:24:59,45.3167,55.2,58.35,41,6,14.12
255,Usinsk,RU,2021-04-14 23:28:26,65.9939,57.5281,33.35,83,100,18.5
256,Manica,FR,2021-04-14 23:28:27,49.0,-1.1667,39.2,70,0,4.61
257,Canton,CN,2021-04-14 23:27:01,23.1167,113.25,79.0,36,99,12.57
258,Sarangani,PH,2021-04-14 23:28:27,5.4033,125.4636,81.79,79,96,11.03
259,Colares,PT,2021-04-14 23:28:27,38.7992,-9.4469,61.0,90,100,10.0
260,Corinto,GR,2021-04-14 23:28:28,37.9407,22.9573,57.0,43,33,1.99
261,Repalle,IN,2021-04-14 23:28:30,16.0167,80.85,80.47,79,88,0.94
262,Hasaki,JP,2021-04-14 23:28:30,35.7333,140.8333,50.0,53,20,16.11
263,Mahuva,IN,2021-04-14 23:28:30,21.0914,71.7622,82.87,41,3,6.73
264,Hokitika,NZ,2021-04-14 23:24:15,-42.7167,170.9667,55.22,88,90,2.8
265,Half Moon Bay,US,2021-04-14 23:28:31,37.4636,-122.4286,66.2,71,1,5.75
266,Fallon,US,2021-04-14 23:28:32,39.4735,-118.7774,53.01,30,75,6.91
267,Cumberland,US,2021-04-14 23:23:38,35.0502,-78.8664,78.8,53,1,13.8
268,Nome,US,2021-04-14 23:27:27,64.5011,-165.4064,34.0,86,40,10.36
269,Ulladulla,AU,2021-04-14 23:24:32,-35.35,150.4667,66.2,39,0,12.66
270,Cherskiy,RU,2021-04-14 23:28:32,68.75,161.3,11.37,69,38,4.07
271,Boa Vista,BR,2021-04-14 23:28:26,2.8197,-60.6733,82.4,74,75,3.44
272,Shu,KZ,2021-04-14 23:28:32,43.5983,73.7614,49.57,40,13,6.31
273,Pervomayskoye,RU,2021-04-14 23:28:33,43.919,46.7102,51.64,88,100,10.8
274,Charters Towers,AU,2021-04-14 23:28:34,-20.1,146.2667,73.69,50,8,7.25
275,Faya,SA,2021-04-14 23:27:10,18.3851,42.4509,64.4,55,0,1.81
276,Grindavik,IS,2021-04-14 23:27:31,63.8424,-22.4338,42.8,93,75,14.97
277,Biltine,TD,2021-04-14 23:28:35,14.5333,20.9167,79.14,8,11,11.3
278,Ponta Delgada,PT,2021-04-14 23:28:32,37.7333,-25.6667,59.0,82,20,2.3
279,Kedrovyy,RU,2021-04-14 23:24:37,56.1667,91.8167,28.4,93,0,6.71
280,Ballina,AU,2021-04-14 23:28:35,-28.8667,153.5667,73.4,60,0,2.3
281,Presque Isle,US,2021-04-14 23:28:35,46.6811,-68.0159,57.2,24,1,3.51
282,Ambulu,ID,2021-04-14 23:28:36,-8.345,113.6058,74.62,88,24,2.66
283,Homer,US,2021-04-14 23:28:37,59.6425,-151.5483,39.2,87,90,11.5
284,Chengde,CN,2021-04-14 23:28:38,40.9725,117.9361,47.07,27,27,2.8
285,Muisne,EC,2021-04-14 23:28:41,0.6,-80.0333,80.6,83,75,9.22
286,Bitung,ID,2021-04-14 23:28:41,1.4451,125.1824,77.0,94,20,3.91
287,Preobrazheniye,RU,2021-04-14 23:28:41,42.9019,133.9064,41.68,46,0,5.17
288,Rocha,UY,2021-04-14 23:26:27,-34.4833,-54.3333,58.86,94,0,6.76
289,Pangody,RU,2021-04-14 23:28:42,65.85,74.4859,35.85,99,100,16.22
290,Ostrovnoy,RU,2021-04-14 23:28:42,68.0531,39.5131,28.58,81,77,28.39
291,Caravelas,BR,2021-04-14 23:28:42,-17.7125,-39.2481,76.78,66,24,10.98
292,Maniitsoq,GL,2021-04-14 23:28:42,65.4167,-52.9,23.07,90,86,20.83
293,Maniwaki,CA,2021-04-14 23:23:56,46.3834,-75.966,55.4,58,91,6.91
294,Merauke,ID,2021-04-14 23:28:43,-8.4667,140.3333,79.34,77,77,10.8
295,San Patricio,US,2021-04-14 23:28:43,28.017,-97.5169,84.99,74,75,9.22
