City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Punta De Bombon,PE,67.69,few clouds,-17.1717,-71.7931,Hotel Bedregal
336,Labuhan,ID,75.51,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
339,Galle,LK,80.37,scattered clouds,6.0367,80.217,Amangalla
340,Ojinaga,MX,82.4,clear sky,29.5667,-104.4167,Suites Las Palmas
342,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
345,Bembereke,BJ,81.84,overcast clouds,10.2283,2.6634,Hotel Bio Guera
347,Berbera,SO,82.06,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
353,Kieta,PG,82.15,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
358,San Patricio,US,81.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
360,Trinidad,BO,82.4,broken clouds,-14.8333,-64.9,Hotel Piesta
362,Fortuna Foothills,US,88.0,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
363,Winneba,GH,84.2,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
364,Massaguet,TD,91.4,overcast clouds,12.4755,15.4365,Alwatane
367,Baihar,IN,76.48,broken clouds,22.1,80.55,T3 RESORT & RESEARCH CENTRE
370,Victoria,HK,77.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
371,Kanigoro,ID,70.97,clear sky,-8.13,112.219,Musafer Villa ( Villa Erlin )
373,Turayf,SA,73.4,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
376,Oistins,BB,80.6,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
379,Pio Xii,BR,75.83,overcast clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
380,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
381,Ampanihy,MG,70.77,clear sky,-24.7,44.75,Angora Hotel
382,Coahuayana,MX,86.0,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
384,Tekkali,IN,78.66,broken clouds,18.6167,84.2333,Trinath Gantayat
390,Sabang,ID,82.8,overcast clouds,5.8933,95.3214,Hotel Citra
391,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Tanna Lodge
393,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
395,Nsanje,MW,66.29,clear sky,-16.92,35.262,Nsanje Discovery Lodge
396,Pimentel,PE,69.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
